respondent_id,age_group,gender,region,membership,satisfaction,q_quality,q_price,q_support,recommend_score,heard_from,free_comment
31,40代,女性,近畿,有料会員,5,5,4.0,4.0,9.0,その他,コスパが良い
32,40代,女性,近畿,無料会員,3,4,2.0,2.0,6.0,検索,改善に期待
33,40代,女性,関東,有料会員,4,5,4.0,4.0,6.0,SNS,使いやすい
34,40代,男性,近畿,無料会員,3,3,3.0,3.0,7.0,広告,特になし
35,20代,女性,関東,無料会員,2,4,3.0,2.0,7.0,メディア記事,値段が高い
36,40代,男性,近畿,無料会員,3,3,4.0,3.0,9.0,SNS,普通
37,40代,男性,中部,無料会員,3,4,3.0,3.0,6.0,友人・知人,普通
38,40代,女性,関東,無料会員,3,3,4.0,3.0,5.0,友人・知人,特になし
39,20代,女性,関東,無料会員,3,3,2.0,3.0,6.0,検索,改善に期待
40,50代,女性,関東,有料会員,4,4,2.0,5.0,7.0,友人・知人,デザインが好き
41,40代,女性,関東,無料会員,3,3,5.0,4.0,3.0,メディア記事,改善に期待
42,20代,女性,中部,無料会員,3,4,4.0,2.0,5.0,メディア記事,普通
43,60代以上,女性,中国・四国,無料会員,3,4,4.0,2.0,6.0,SNS,
44,30代,男性,北海道・東北,有料会員,3,3,3.0,4.0,3.0,友人・知人,特になし
45,30代,回答しない,関東,無料会員,4,3,4.0,4.0,8.0,SNS,使いやすい
46,40代,女性,中国・四国,無料会員,3,2,3.0,2.0,7.0,広告,改善に期待
47,40代,男性,近畿,有料会員,4,5,3.0,4.0,6.0,検索,品揃えが豊富
48,30代,女性,中部,無料会員,2,3,2.0,3.0,3.0,SNS,解約しづらい
49,30代,男性,関東,無料会員,3,2,4.0,2.0,8.0,広告,普通
50,40代,男性,近畿,有料会員,5,4,4.0,5.0,10.0,検索,コスパが良い
51,40代,女性,近畿,無料会員,2,2,2.0,2.0,4.0,広告,在庫切れが多い
52,30代,男性,中部,無料会員,4,4,5.0,4.0,9.0,検索,使いやすい
53,40代,男性,関東,無料会員,3,3,4.0,5.0,5.0,広告,改善に期待
54,20代,女性,関東,無料会員,3,3,4.0,,7.0,友人・知人,
55,20代,女性,近畿,有料会員,4,5,2.0,4.0,7.0,検索,コスパが良い
56,60代以上,男性,関東,無料会員,3,3,3.0,3.0,,検索,特になし
57,10代,男性,九州・沖縄,無料会員,3,3,3.0,2.0,7.0,SNS,普通
58,30代,女性,九州・沖縄,無料会員,3,3,4.0,,6.0,検索,改善に期待
59,30代,男性,関東,無料会員,2,3,3.0,3.0,4.0,検索,在庫切れが多い
60,30代,女性,関東,無料会員,4,2,3.0,5.0,10.0,SNS,デザインが好き
61,60代以上,女性,関東,無料会員,2,4,2.0,4.0,5.0,友人・知人,解約しづらい
62,30代,女性,関東,無料会員,3,3,3.0,5.0,8.0,検索,改善に期待
63,40代,女性,関東,無料会員,4,3,3.0,5.0,9.0,検索,
64,20代,女性,関東,無料会員,5,4,3.0,4.0,10.0,広告,デザインが好き
65,50代,女性,中部,無料会員,2,2,2.0,3.0,5.0,検索,動作が重い
66,20代,男性,中部,無料会員,2,3,2.0,3.0,3.0,広告,動作が重い
67,20代,女性,近畿,無料会員,4,4,3.0,3.0,7.0,広告,品揃えが豊富
68,20代,女性,中部,無料会員,3,3,2.0,3.0,7.0,広告,普通
69,40代,女性,関東,無料会員,4,3,4.0,3.0,5.0,友人・知人,デザインが好き
70,50代,女性,中国・四国,無料会員,4,3,5.0,4.0,6.0,友人・知人,デザインが好き
71,20代,男性,近畿,無料会員,4,3,4.0,4.0,5.0,広告,サポートが丁寧
72,50代,女性,中部,無料会員,2,3,4.0,2.0,5.0,SNS,在庫切れが多い
73,40代,男性,関東,無料会員,3,4,3.0,4.0,6.0,検索,
74,30代,女性,近畿,無料会員,4,4,3.0,4.0,9.0,検索,品揃えが豊富
75,60代以上,女性,中部,無料会員,3,3,2.0,3.0,7.0,友人・知人,改善に期待
76,40代,男性,関東,無料会員,4,4,3.0,,9.0,検索,品揃えが豊富
77,50代,女性,中部,無料会員,3,3,,4.0,7.0,メディア記事,改善に期待
78,20代,男性,北海道・東北,無料会員,2,4,3.0,1.0,4.0,SNS,動作が重い
79,60代以上,女性,中部,無料会員,4,4,4.0,1.0,9.0,検索,コスパが良い
80,50代,男性,関東,有料会員,4,4,5.0,4.0,10.0,SNS,品揃えが豊富
81,40代,回答しない,中部,無料会員,4,3,,4.0,10.0,広告,サポートが丁寧
82,30代,女性,関東,有料会員,4,4,3.0,,10.0,広告,品揃えが豊富
83,30代,男性,近畿,無料会員,3,2,5.0,4.0,8.0,検索,改善に期待
84,30代,男性,関東,無料会員,3,5,2.0,2.0,4.0,広告,改善に期待
85,40代,男性,関東,有料会員,4,5,3.0,3.0,10.0,検索,
86,30代,男性,関東,無料会員,3,3,3.0,4.0,6.0,SNS,
87,60代以上,男性,北海道・東北,無料会員,3,3,3.0,2.0,6.0,メディア記事,普通
88,40代,男性,中国・四国,無料会員,3,3,2.0,4.0,6.0,検索,特になし
89,20代,男性,関東,無料会員,4,4,4.0,4.0,6.0,友人・知人,コスパが良い
90,30代,回答しない,中部,無料会員,3,4,2.0,3.0,8.0,SNS,特になし
91,20代,女性,関東,無料会員,4,3,4.0,2.0,,SNS,
92,30代,男性,関東,無料会員,2,3,3.0,1.0,6.0,友人・知人,解約しづらい
93,30代,男性,関東,無料会員,4,4,3.0,3.0,6.0,SNS,品揃えが豊富
94,30代,女性,近畿,無料会員,4,4,3.0,3.0,8.0,その他,品揃えが豊富
95,30代,男性,近畿,無料会員,3,3,3.0,3.0,6.0,SNS,特になし
96,10代,女性,中部,無料会員,4,2,4.0,4.0,9.0,検索,品揃えが豊富
97,60代以上,女性,関東,無料会員,3,3,4.0,2.0,5.0,メディア記事,特になし
98,30代,女性,北海道・東北,有料会員,5,4,5.0,4.0,10.0,SNS,サポートが丁寧
99,20代,女性,近畿,無料会員,5,3,4.0,4.0,10.0,SNS,デザインが好き
100,30代,女性,関東,無料会員,4,4,,4.0,10.0,友人・知人,サポートが丁寧
101,40代,女性,関東,無料会員,3,3,3.0,,6.0,検索,改善に期待
102,20代,女性,中部,無料会員,4,4,4.0,,9.0,メディア記事,
103,20代,女性,近畿,無料会員,4,3,4.0,3.0,7.0,SNS,コスパが良い
104,50代,回答しない,関東,有料会員,4,4,4.0,4.0,10.0,SNS,デザインが好き
105,50代,女性,関東,無料会員,2,4,3.0,2.0,4.0,SNS,値段が高い
106,50代,女性,九州・沖縄,無料会員,3,4,4.0,1.0,5.0,SNS,普通
107,30代,男性,中部,無料会員,4,5,3.0,4.0,8.0,検索,サポートが丁寧
108,50代,女性,近畿,無料会員,3,3,3.0,3.0,5.0,友人・知人,特になし
109,30代,女性,関東,無料会員,4,4,4.0,4.0,7.0,広告,使いやすい
110,20代,女性,関東,無料会員,3,4,3.0,2.0,7.0,検索,普通
111,40代,男性,中部,無料会員,2,3,2.0,2.0,6.0,広告,解約しづらい
112,20代,女性,関東,無料会員,3,3,3.0,3.0,5.0,検索,改善に期待
113,40代,女性,近畿,無料会員,3,2,3.0,4.0,6.0,広告,改善に期待
114,60代以上,男性,近畿,無料会員,4,3,3.0,4.0,6.0,メディア記事,デザインが好き
115,30代,女性,近畿,無料会員,4,3,2.0,5.0,4.0,メディア記事,品揃えが豊富
116,40代,男性,中部,有料会員,4,4,4.0,3.0,8.0,友人・知人,品揃えが豊富
117,50代,女性,九州・沖縄,無料会員,5,5,3.0,3.0,10.0,検索,品揃えが豊富
118,10代,女性,関東,無料会員,4,5,4.0,3.0,7.0,広告,サポートが丁寧
119,30代,男性,近畿,無料会員,3,4,2.0,4.0,4.0,友人・知人,改善に期待
120,30代,男性,中部,無料会員,2,5,2.0,3.0,5.0,友人・知人,在庫切れが多い
121,30代,女性,近畿,無料会員,3,4,2.0,5.0,6.0,検索,特になし
122,50代,男性,九州・沖縄,有料会員,4,5,4.0,3.0,6.0,メディア記事,サポートが丁寧
123,40代,男性,中部,有料会員,4,5,4.0,2.0,9.0,広告,デザインが好き
124,30代,男性,関東,無料会員,4,3,4.0,5.0,10.0,SNS,デザインが好き
125,30代,男性,中部,無料会員,3,4,3.0,4.0,5.0,検索,
126,60代以上,男性,中国・四国,無料会員,4,4,2.0,4.0,6.0,メディア記事,デザインが好き
127,20代,女性,近畿,無料会員,5,3,4.0,4.0,9.0,その他,サポートが丁寧
128,20代,女性,中部,無料会員,3,3,2.0,3.0,5.0,友人・知人,普通
129,50代,女性,関東,無料会員,4,4,2.0,4.0,9.0,SNS,デザインが好き
130,60代以上,女性,九州・沖縄,無料会員,3,4,3.0,4.0,6.0,検索,普通
131,20代,回答しない,関東,無料会員,4,4,4.0,4.0,7.0,検索,デザインが好き
132,10代,男性,九州・沖縄,無料会員,3,5,3.0,3.0,4.0,SNS,
133,30代,女性,近畿,有料会員,5,5,4.0,5.0,10.0,SNS,品揃えが豊富
134,20代,男性,中部,無料会員,5,4,4.0,4.0,10.0,友人・知人,品揃えが豊富
135,50代,女性,北海道・東北,無料会員,2,3,3.0,3.0,3.0,SNS,解約しづらい
136,20代,男性,近畿,有料会員,3,4,4.0,2.0,7.0,友人・知人,特になし
137,30代,女性,九州・沖縄,無料会員,3,3,,2.0,8.0,友人・知人,普通
138,60代以上,女性,九州・沖縄,有料会員,5,3,5.0,4.0,10.0,SNS,使いやすい
139,30代,女性,関東,無料会員,3,3,3.0,3.0,7.0,友人・知人,普通
140,10代,男性,北海道・東北,無料会員,3,3,3.0,4.0,6.0,検索,改善に期待
141,30代,女性,中部,無料会員,4,4,,4.0,8.0,検索,デザインが好き
142,60代以上,女性,関東,無料会員,2,4,3.0,2.0,4.0,検索,動作が重い
143,50代,女性,九州・沖縄,無料会員,3,4,4.0,3.0,7.0,検索,特になし
144,10代,女性,九州・沖縄,有料会員,4,5,4.0,,8.0,友人・知人,
145,40代,女性,関東,無料会員,4,4,4.0,,7.0,検索,
146,50代,女性,近畿,無料会員,4,3,3.0,3.0,10.0,友人・知人,サポートが丁寧
147,20代,回答しない,関東,有料会員,3,3,3.0,4.0,4.0,SNS,改善に期待
148,30代,女性,中部,無料会員,4,4,4.0,3.0,5.0,検索,品揃えが豊富
149,60代以上,女性,近畿,無料会員,4,4,3.0,4.0,10.0,広告,コスパが良い
150,30代,男性,北海道・東北,無料会員,3,2,2.0,3.0,,メディア記事,改善に期待
151,50代,女性,近畿,有料会員,4,5,4.0,4.0,8.0,検索,品揃えが豊富
152,30代,女性,九州・沖縄,無料会員,4,4,,5.0,8.0,広告,品揃えが豊富
153,40代,女性,中部,無料会員,3,3,3.0,4.0,6.0,広告,普通
154,20代,女性,関東,有料会員,5,5,4.0,5.0,10.0,SNS,コスパが良い
155,40代,回答しない,関東,無料会員,3,3,3.0,4.0,7.0,検索,普通
156,20代,女性,中国・四国,無料会員,4,4,3.0,2.0,6.0,SNS,品揃えが豊富
157,10代,女性,関東,有料会員,4,4,3.0,4.0,7.0,SNS,使いやすい
158,20代,男性,近畿,無料会員,3,3,4.0,2.0,8.0,友人・知人,特になし
159,30代,男性,関東,無料会員,2,3,1.0,2.0,5.0,検索,値段が高い
160,40代,回答しない,中部,無料会員,3,4,3.0,3.0,7.0,広告,普通
161,40代,女性,中部,無料会員,4,4,3.0,5.0,9.0,検索,デザインが好き
162,40代,女性,関東,無料会員,4,3,3.0,3.0,7.0,広告,コスパが良い
163,60代以上,男性,関東,無料会員,4,2,4.0,5.0,10.0,検索,サポートが丁寧
164,30代,男性,関東,無料会員,3,3,2.0,3.0,7.0,メディア記事,特になし
165,50代,男性,関東,無料会員,2,3,2.0,3.0,4.0,友人・知人,
166,60代以上,女性,近畿,無料会員,1,3,,1.0,1.0,広告,値段が高い
167,20代,女性,関東,有料会員,4,4,5.0,3.0,8.0,広告,デザインが好き
168,40代,女性,九州・沖縄,無料会員,4,3,3.0,3.0,9.0,検索,コスパが良い
169,20代,回答しない,九州・沖縄,無料会員,3,3,2.0,4.0,6.0,友人・知人,普通
170,50代,男性,中国・四国,無料会員,3,3,3.0,3.0,6.0,SNS,改善に期待
171,50代,女性,中国・四国,無料会員,2,3,2.0,2.0,4.0,検索,在庫切れが多い
172,20代,男性,近畿,無料会員,4,3,4.0,5.0,10.0,検索,
173,30代,女性,北海道・東北,無料会員,3,2,3.0,3.0,4.0,検索,普通
174,20代,男性,九州・沖縄,無料会員,3,2,4.0,4.0,5.0,その他,特になし
175,50代,女性,関東,無料会員,2,3,1.0,4.0,6.0,SNS,在庫切れが多い
176,50代,回答しない,関東,無料会員,4,4,4.0,5.0,8.0,検索,品揃えが豊富
177,40代,男性,中部,無料会員,4,4,4.0,3.0,9.0,広告,使いやすい
178,30代,男性,関東,有料会員,4,5,5.0,4.0,9.0,広告,
179,20代,女性,関東,無料会員,4,3,4.0,3.0,8.0,SNS,コスパが良い
180,30代,男性,近畿,無料会員,3,4,3.0,4.0,4.0,友人・知人,
181,20代,男性,近畿,有料会員,4,4,4.0,5.0,9.0,友人・知人,使いやすい
182,30代,女性,近畿,無料会員,3,2,4.0,2.0,4.0,友人・知人,普通
183,20代,女性,関東,無料会員,2,4,3.0,3.0,5.0,SNS,値段が高い
184,30代,女性,関東,無料会員,3,3,3.0,4.0,5.0,検索,改善に期待
185,40代,女性,関東,有料会員,4,5,3.0,4.0,9.0,メディア記事,デザインが好き
186,30代,女性,中国・四国,有料会員,4,3,4.0,5.0,8.0,広告,コスパが良い
187,30代,女性,関東,無料会員,3,4,2.0,4.0,5.0,SNS,特になし
188,10代,女性,関東,無料会員,3,3,4.0,2.0,3.0,SNS,改善に期待
189,30代,男性,近畿,無料会員,3,5,2.0,4.0,7.0,SNS,普通
190,20代,女性,近畿,無料会員,3,3,5.0,2.0,8.0,メディア記事,普通
191,40代,女性,近畿,無料会員,5,4,4.0,3.0,10.0,検索,デザインが好き
192,30代,女性,九州・沖縄,有料会員,3,5,3.0,2.0,8.0,検索,改善に期待
193,50代,男性,関東,有料会員,4,4,4.0,4.0,8.0,友人・知人,
194,10代,女性,中部,無料会員,4,4,5.0,1.0,8.0,友人・知人,品揃えが豊富
195,50代,女性,中部,無料会員,3,4,3.0,1.0,5.0,友人・知人,改善に期待
196,30代,男性,関東,無料会員,3,4,4.0,3.0,5.0,検索,普通
197,20代,回答しない,関東,有料会員,3,3,3.0,2.0,8.0,検索,特になし
198,20代,男性,関東,無料会員,4,5,3.0,4.0,10.0,友人・知人,サポートが丁寧
199,40代,男性,中国・四国,有料会員,5,5,3.0,,10.0,広告,品揃えが豊富
200,20代,回答しない,関東,無料会員,3,3,3.0,2.0,5.0,検索,普通
201,50代,女性,関東,無料会員,4,4,3.0,3.0,8.0,SNS,品揃えが豊富
202,30代,女性,中国・四国,有料会員,4,4,5.0,3.0,10.0,検索,デザインが好き
203,20代,女性,関東,有料会員,4,3,4.0,5.0,9.0,友人・知人,コスパが良い
204,30代,女性,関東,無料会員,2,2,2.0,3.0,5.0,検索,動作が重い
205,30代,女性,関東,無料会員,4,4,4.0,1.0,8.0,広告,デザインが好き
206,50代,女性,近畿,無料会員,4,3,4.0,4.0,7.0,検索,デザインが好き
207,20代,女性,関東,無料会員,2,2,3.0,2.0,5.0,友人・知人,値段が高い
208,40代,回答しない,関東,無料会員,4,3,3.0,4.0,8.0,SNS,コスパが良い
209,40代,回答しない,中国・四国,無料会員,4,4,3.0,,9.0,広告,使いやすい
210,40代,女性,関東,有料会員,3,5,3.0,1.0,5.0,友人・知人,特になし
211,40代,女性,関東,無料会員,4,5,2.0,5.0,9.0,メディア記事,
212,30代,女性,関東,無料会員,2,3,3.0,2.0,5.0,検索,動作が重い
213,40代,男性,近畿,無料会員,3,4,3.0,3.0,7.0,検索,普通
214,20代,女性,中部,無料会員,3,4,3.0,2.0,5.0,SNS,特になし
215,20代,女性,関東,無料会員,4,3,4.0,5.0,9.0,友人・知人,コスパが良い
216,20代,女性,中部,有料会員,2,3,3.0,1.0,4.0,SNS,問い合わせ対応が遅い
217,40代,女性,近畿,有料会員,4,4,5.0,3.0,10.0,友人・知人,デザインが好き
218,20代,女性,関東,有料会員,4,5,3.0,5.0,6.0,検索,使いやすい
219,50代,男性,北海道・東北,有料会員,4,4,4.0,3.0,6.0,SNS,コスパが良い
220,10代,女性,近畿,無料会員,3,4,3.0,2.0,4.0,SNS,改善に期待
221,50代,男性,北海道・東北,有料会員,3,5,4.0,2.0,6.0,SNS,改善に期待
222,60代以上,男性,中部,無料会員,3,3,3.0,,9.0,SNS,特になし
223,40代,男性,関東,有料会員,4,4,3.0,,7.0,検索,コスパが良い
224,30代,女性,中部,無料会員,3,4,2.0,3.0,6.0,広告,特になし
225,50代,女性,関東,無料会員,3,4,2.0,2.0,9.0,広告,特になし
226,40代,女性,近畿,無料会員,4,4,3.0,4.0,10.0,検索,使いやすい
227,30代,女性,中国・四国,有料会員,4,4,4.0,3.0,7.0,検索,品揃えが豊富
228,40代,男性,関東,有料会員,3,3,4.0,4.0,9.0,検索,
229,50代,女性,中部,無料会員,4,2,3.0,5.0,9.0,SNS,コスパが良い
230,40代,女性,中部,有料会員,3,3,1.0,3.0,5.0,メディア記事,特になし
231,50代,回答しない,関東,有料会員,4,5,4.0,,9.0,検索,品揃えが豊富
232,30代,男性,北海道・東北,無料会員,2,2,3.0,3.0,1.0,SNS,在庫切れが多い
233,30代,女性,中部,無料会員,3,3,3.0,4.0,4.0,メディア記事,
234,40代,女性,中部,有料会員,4,4,,2.0,7.0,その他,コスパが良い
235,30代,女性,九州・沖縄,無料会員,3,5,3.0,3.0,6.0,広告,改善に期待
236,40代,女性,関東,有料会員,4,4,5.0,4.0,9.0,SNS,使いやすい
237,20代,女性,関東,有料会員,3,4,3.0,2.0,7.0,SNS,
238,20代,男性,近畿,有料会員,3,4,,2.0,9.0,検索,
239,50代,男性,関東,有料会員,4,5,5.0,3.0,8.0,検索,コスパが良い
240,30代,女性,中部,無料会員,2,3,2.0,2.0,4.0,検索,値段が高い
241,60代以上,男性,中部,無料会員,4,3,3.0,5.0,10.0,検索,コスパが良い
242,50代,男性,北海道・東北,無料会員,3,4,2.0,4.0,7.0,SNS,普通
243,20代,男性,近畿,有料会員,4,4,3.0,4.0,7.0,その他,使いやすい
244,30代,男性,関東,有料会員,5,5,4.0,5.0,10.0,広告,使いやすい
245,30代,男性,関東,有料会員,3,5,3.0,4.0,8.0,広告,特になし
246,30代,女性,近畿,無料会員,4,2,5.0,,7.0,友人・知人,サポートが丁寧
247,30代,女性,関東,無料会員,3,2,2.0,4.0,8.0,その他,改善に期待
248,40代,男性,中部,有料会員,4,4,4.0,5.0,7.0,友人・知人,デザインが好き
249,20代,男性,関東,無料会員,2,4,2.0,2.0,2.0,SNS,問い合わせ対応が遅い
250,20代,男性,関東,無料会員,3,3,3.0,,7.0,SNS,改善に期待
251,20代,女性,近畿,無料会員,4,4,4.0,3.0,,広告,サポートが丁寧
252,20代,女性,中部,無料会員,4,2,4.0,4.0,7.0,メディア記事,品揃えが豊富
253,40代,男性,近畿,無料会員,4,4,4.0,4.0,8.0,検索,デザインが好き
254,50代,男性,近畿,無料会員,2,2,3.0,2.0,6.0,友人・知人,動作が重い
255,40代,女性,関東,有料会員,2,3,3.0,4.0,0.0,友人・知人,
256,50代,女性,中部,無料会員,3,2,4.0,1.0,7.0,広告,改善に期待
257,10代,女性,近畿,無料会員,4,4,2.0,5.0,8.0,友人・知人,デザインが好き
258,30代,女性,九州・沖縄,無料会員,3,3,2.0,2.0,5.0,SNS,普通
259,20代,女性,近畿,有料会員,4,4,4.0,4.0,9.0,SNS,使いやすい
260,30代,女性,九州・沖縄,有料会員,4,5,3.0,5.0,10.0,メディア記事,使いやすい
261,20代,男性,関東,有料会員,3,4,3.0,2.0,5.0,メディア記事,普通
262,10代,女性,九州・沖縄,無料会員,3,3,4.0,3.0,3.0,検索,特になし
263,50代,女性,中国・四国,無料会員,3,3,3.0,4.0,6.0,友人・知人,改善に期待
264,30代,男性,中部,有料会員,5,5,4.0,5.0,,友人・知人,デザインが好き
265,20代,女性,近畿,無料会員,2,1,2.0,3.0,2.0,友人・知人,動作が重い
266,40代,女性,北海道・東北,無料会員,5,5,3.0,4.0,10.0,検索,デザインが好き
267,30代,女性,関東,有料会員,4,5,4.0,4.0,7.0,広告,デザインが好き
268,60代以上,女性,九州・沖縄,無料会員,3,4,3.0,1.0,4.0,検索,特になし
269,30代,女性,中国・四国,有料会員,3,5,2.0,3.0,6.0,検索,特になし
270,10代,女性,近畿,有料会員,4,5,4.0,3.0,10.0,広告,使いやすい
271,40代,男性,中部,有料会員,3,4,3.0,5.0,6.0,友人・知人,改善に期待
272,40代,男性,近畿,有料会員,4,4,4.0,3.0,8.0,友人・知人,コスパが良い
273,20代,男性,中部,有料会員,4,5,5.0,3.0,10.0,SNS,使いやすい
274,30代,男性,関東,無料会員,3,3,5.0,5.0,7.0,SNS,特になし
275,20代,女性,近畿,有料会員,4,5,4.0,5.0,10.0,広告,サポートが丁寧
276,20代,女性,関東,有料会員,3,3,5.0,,4.0,検索,特になし
277,20代,男性,関東,無料会員,3,4,3.0,4.0,8.0,検索,改善に期待
278,50代,男性,九州・沖縄,無料会員,3,3,2.0,3.0,9.0,友人・知人,普通
279,30代,回答しない,関東,有料会員,3,4,3.0,4.0,5.0,検索,普通
280,50代,女性,関東,無料会員,3,4,2.0,3.0,4.0,広告,特になし
281,40代,女性,中国・四国,無料会員,2,4,1.0,3.0,4.0,広告,値段が高い
282,50代,女性,中部,無料会員,2,4,2.0,2.0,3.0,広告,解約しづらい
283,10代,女性,近畿,有料会員,3,3,4.0,2.0,5.0,検索,特になし
284,30代,女性,関東,無料会員,3,4,3.0,1.0,5.0,SNS,普通
285,50代,男性,九州・沖縄,無料会員,3,4,2.0,3.0,7.0,友人・知人,普通
286,60代以上,男性,関東,有料会員,3,4,3.0,4.0,7.0,友人・知人,改善に期待
287,20代,男性,関東,無料会員,4,3,4.0,3.0,8.0,友人・知人,品揃えが豊富
288,10代,女性,九州・沖縄,有料会員,5,4,5.0,4.0,7.0,検索,使いやすい
289,50代,女性,中部,無料会員,4,4,3.0,4.0,7.0,検索,品揃えが豊富
290,60代以上,女性,関東,無料会員,4,4,2.0,3.0,6.0,SNS,サポートが丁寧
291,30代,女性,九州・沖縄,無料会員,4,4,3.0,3.0,8.0,友人・知人,
292,30代,男性,関東,無料会員,3,4,5.0,2.0,5.0,SNS,特になし
293,40代,男性,中国・四国,無料会員,2,3,2.0,1.0,,広告,解約しづらい
294,40代,女性,近畿,無料会員,4,3,4.0,3.0,8.0,広告,品揃えが豊富
295,30代,回答しない,関東,有料会員,5,3,4.0,5.0,10.0,友人・知人,
296,40代,女性,関東,無料会員,3,3,3.0,3.0,6.0,SNS,
297,50代,男性,関東,無料会員,2,2,3.0,5.0,4.0,検索,解約しづらい
298,40代,女性,関東,無料会員,4,3,4.0,3.0,9.0,検索,使いやすい
299,20代,女性,関東,無料会員,4,3,5.0,3.0,8.0,メディア記事,デザインが好き
300,30代,女性,九州・沖縄,無料会員,4,3,4.0,3.0,8.0,その他,コスパが良い
301,30代,男性,中部,無料会員,3,4,3.0,3.0,5.0,その他,改善に期待
302,40代,女性,関東,無料会員,5,4,4.0,4.0,8.0,広告,品揃えが豊富
303,30代,女性,北海道・東北,無料会員,3,3,2.0,2.0,6.0,その他,普通
304,50代,女性,中国・四国,有料会員,3,3,3.0,5.0,6.0,広告,普通
305,30代,男性,関東,無料会員,4,3,5.0,3.0,10.0,メディア記事,デザインが好き
306,40代,回答しない,中部,無料会員,4,4,3.0,3.0,8.0,広告,サポートが丁寧
307,40代,女性,関東,無料会員,3,3,4.0,3.0,6.0,友人・知人,改善に期待
308,40代,女性,近畿,無料会員,3,4,3.0,2.0,5.0,SNS,特になし
309,20代,女性,関東,無料会員,2,3,3.0,1.0,6.0,広告,問い合わせ対応が遅い
310,20代,女性,関東,無料会員,3,4,3.0,2.0,7.0,検索,改善に期待
311,30代,男性,関東,有料会員,5,5,5.0,,10.0,SNS,サポートが丁寧
312,20代,女性,関東,無料会員,3,3,4.0,2.0,6.0,SNS,改善に期待
313,20代,女性,近畿,無料会員,3,4,3.0,4.0,7.0,検索,普通
314,30代,女性,関東,無料会員,4,3,4.0,5.0,8.0,検索,
315,40代,女性,九州・沖縄,無料会員,4,4,3.0,,10.0,友人・知人,サポートが丁寧
316,50代,男性,関東,無料会員,4,3,3.0,5.0,10.0,友人・知人,コスパが良い
317,40代,女性,近畿,無料会員,3,4,3.0,4.0,4.0,検索,普通
318,20代,男性,関東,無料会員,3,3,3.0,4.0,6.0,検索,普通
319,60代以上,男性,九州・沖縄,無料会員,3,3,4.0,3.0,6.0,検索,改善に期待
320,30代,男性,関東,無料会員,2,3,3.0,3.0,7.0,SNS,解約しづらい
321,30代,回答しない,関東,無料会員,4,3,4.0,4.0,8.0,SNS,デザインが好き
322,40代,男性,近畿,無料会員,2,3,4.0,2.0,6.0,メディア記事,在庫切れが多い
323,40代,男性,中部,無料会員,3,3,,3.0,5.0,SNS,普通
324,40代,女性,近畿,無料会員,3,3,2.0,4.0,7.0,検索,改善に期待
